Vehicle ID,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram,vehicle_other,Driver_id
A-745106,0,0,0,0,0,0,1,0,0,0,0,0,1065348
A-745107,0,0,0,0,0,0,0,0,3,0,0,1,890389
A-745108,0,0,0,0,0,0,0,0,0,0,0,1,1065142
A-745109,0,0,0,0,0,0,0,0,1,1,0,0,1065320
A-745110,0,0,0,0,0,0,0,0,1,0,0,0,1065304
A-745111,0,0,0,0,1,0,0,0,0,0,0,0,1065180
A-745112,0,0,2,0,0,0,0,0,0,0,0,0,1065298
A-745113,0,1,0,0,0,0,0,0,0,0,0,0,1064904
A-745114,0,0,0,0,0,0,0,2,0,0,0,0,1064696
A-745115,0,0,0,0,0,0,0,0,2,0,0,1,977277
A-745116,0,0,1,0,0,0,0,0,0,0,0,0,1065260
A-745117,0,1,1,0,0,0,0,0,0,0,0,0,1059734
A-745118,0,0,0,1,0,0,0,0,0,0,0,0,1065110
A-745119,1,0,1,0,0,0,0,0,1,0,0,0,1047987
A-745120,1,0,0,0,0,0,0,0,0,0,0,0,1065104
A-745121,0,0,1,0,0,0,0,0,0,0,0,0,1065103
A-745122,0,0,0,0,0,0,0,0,1,0,0,0,1065254
A-745123,2,0,0,0,0,0,0,0,0,0,0,0,1064873
A-745124,0,0,0,0,0,2,0,0,0,0,0,0,1065244
A-745125,0,0,0,0,0,0,0,0,0,0,0,0,1064969
A-745126,0,0,1,0,0,0,0,0,0,0,0,1,1059620
A-745127,0,0,0,0,0,0,0,1,0,0,0,0,1032978
A-745128,0,0,0,0,0,2,0,1,0,0,0,0,1065234
A-745129,0,0,2,0,0,0,0,0,1,0,0,0,1064958
A-745130,0,0,0,0,0,0,0,0,0,0,0,0,1065196
A-745131,0,0,0,0,1,0,0,0,0,0,0,0,1065199
A-745132,0,0,0,0,0,0,0,0,2,0,0,0,1065195
A-745133,0,0,0,0,0,1,0,0,1,0,0,0,1065020
A-745134,0,1,0,1,0,0,0,0,0,0,0,0,1065016
A-745135,0,0,0,0,0,0,0,0,0,0,0,0,1064924
A-745136,0,0,0,0,0,0,0,0,3,0,0,0,1064940
A-745137,0,0,0,0,1,0,0,0,2,0,0,0,1064932
A-745138,0,0,0,1,0,0,0,0,0,0,0,1,1062248
A-745139,0,0,0,0,0,0,0,0,0,0,0,0,1064985
A-745140,1,0,0,0,2,0,0,0,0,0,0,0,1064926
A-745141,0,0,0,0,0,0,0,0,1,0,0,1,1064908
A-745142,0,0,0,0,0,0,0,0,2,0,0,0,1059118
A-745143,0,0,2,0,0,0,0,0,0,0,0,0,1064897
A-745144,0,0,0,0,0,0,0,0,0,0,0,0,1064754
A-745145,0,0,0,0,0,0,0,0,0,0,0,0,1060082
A-745146,0,0,1,0,0,0,1,0,0,0,0,0,1064736
A-745147,0,0,2,0,0,0,0,0,1,0,0,0,1064727
A-745148,0,0,0,0,0,0,0,0,0,0,0,0,1042668
A-745149,0,0,1,0,0,0,0,0,0,0,0,1,1064862
A-745150,0,0,0,1,0,0,0,0,2,0,0,0,1064711
A-745151,0,0,1,0,0,0,0,0,2,0,0,0,1032875
A-745152,0,0,0,0,0,0,0,0,0,0,0,0,1064830
A-745153,0,1,0,0,0,0,0,0,0,0,0,1,1064681
A-745154,1,0,0,0,0,0,0,0,0,0,0,0,1064383
A-745155,0,0,0,0,0,0,0,1,1,0,0,0,1064675
A-745156,0,0,0,0,0,0,0,0,3,0,0,0,1064666
A-745157,1,0,0,0,0,0,0,0,0,0,0,0,1064639
A-745158,0,0,0,0,0,0,0,3,0,0,0,0,1064636
A-745159,2,0,0,0,0,0,0,0,1,0,0,0,1064805
A-745160,1,0,0,0,1,0,0,0,0,0,0,0,1064635
A-745161,0,0,0,0,0,1,0,0,0,0,0,0,1064793
A-745162,0,0,1,0,0,0,0,0,2,0,0,0,1056865
A-745163,0,0,0,0,2,0,0,0,0,0,0,0,1064783
A-745164,0,0,0,0,2,0,0,1,0,0,0,0,1064623
A-745165,0,0,0,0,0,0,0,0,0,0,0,0,1064792
A-745166,0,0,0,1,0,0,0,0,0,0,0,0,1062701
A-745167,0,0,0,0,0,0,0,0,0,0,0,0,1064781
A-745168,0,0,0,0,0,0,0,1,0,0,0,0,1064774
A-745169,0,0,1,0,0,0,0,0,0,0,0,0,1053765
A-745170,0,0,0,0,0,0,0,0,0,0,0,0,1064608
A-745171,1,0,0,0,0,0,0,0,0,0,0,0,1064589
A-745172,0,1,0,0,0,0,0,0,0,0,0,0,1064558
A-745173,1,0,0,0,0,0,0,0,3,0,0,0,1064585
A-745174,0,0,0,0,0,0,0,0,0,0,0,0,1064548
A-745175,0,1,0,0,0,0,0,0,0,0,0,0,1064462
A-745176,0,0,0,0,0,0,0,1,1,0,0,0,1064582
A-745177,3,0,0,0,0,0,0,0,1,0,0,0,1064579
A-745178,0,0,0,0,0,0,0,0,0,0,0,1,1046511
A-745179,3,0,0,0,0,0,0,0,0,0,0,0,1029191
A-745180,0,0,2,0,0,0,0,0,1,0,0,0,1064527
A-745181,1,0,0,0,0,0,0,0,4,0,0,0,1064567
A-745182,0,0,0,1,1,0,0,0,0,0,0,0,1064500
A-745183,0,0,0,0,0,0,0,0,0,0,0,0,1063899
A-745184,0,0,0,0,0,0,0,0,0,0,0,1,1057598
A-745185,0,0,0,0,0,1,1,0,0,0,0,0,1052002
A-745186,0,0,0,0,0,1,0,0,3,0,0,0,1064323
A-745187,0,0,0,0,0,0,0,0,0,0,0,0,1064317
A-745188,0,0,0,0,0,0,0,0,3,0,0,0,1064471
A-745189,0,0,0,0,0,0,0,0,0,0,0,0,1060374
